网址,标题
http://www.cuc.edu.cn/news/2019/1202/c1901a160563/page.htm,"
我校教师入选2018—2019年度高校与新闻单位互聘交流“双千计划”
"
http://www.cuc.edu.cn/news/2019/1202/c1901a160557/page.htm,"
国家社科基金教育学重点课题中期检查会议在我校召开
"
http://www.cuc.edu.cn/news/2019/1202/c1901a160543/page.htm,"
党委宣传部召开2018-2019年度优秀学生记者表彰大会
"
http://www.cuc.edu.cn/news/2019/1202/c1901a160554/page.htm,"
中国传媒大学校友工作办公室重庆联络处成立
"
http://www.cuc.edu.cn/news/2019/1201/c1901a160525/page.htm,"
我校老教授协会召开第六届会员代表大会暨2019年年会
"
http://www.cuc.edu.cn/news/2019/1201/c1901a160524/page.htm,"
我校召开教学评估与督导工作座谈会
"
http://www.cuc.edu.cn/news/2019/1129/c1901a160509/page.htm,"
彭丽媛在我校出席2019年世界艾滋病日主题活动
"
http://www.cuc.edu.cn/news/2019/1129/c1901a160504/page.htm,"
刘延平副校长出席2019第四届博鳌国际旅游传播论坛
"
http://www.cuc.edu.cn/news/2019/1128/c1901a160460/page.htm,"
我校与海宁市共同主办中国短视频产业高峰论坛
"
http://www.cuc.edu.cn/news/2019/1128/c1901a160446/page.htm,"
《现代传播》再获“全国高校社科名刊”荣誉称号
"
http://www.cuc.edu.cn/news/2019/1128/c1901a160444/page.htm,"
2020届毕业生秋季招聘双选会圆满结束
"
http://www.cuc.edu.cn/news/2019/1127/c1901a160424/page.htm,"
新闻学院召开赵玉明、曹璐教授从教60周年纪念座谈会
"
http://www.cuc.edu.cn/news/2019/1127/c1901a160410/page.htm,"
学校召开专项巡察推进工作会
"
http://www.cuc.edu.cn/news/2019/1127/c1901a160404/page.htm,"
中传学子在第六届红枫大学生记者节斩获多个奖项
"
http://www.cuc.edu.cn/news/2019/1127/c1901a160399/page.htm,"
教育部党组第一巡视组巡视中国传媒大学党委工作动员会召开
"
http://www.cuc.edu.cn/news/2019/1126/c1901a160343/page.htm,"
“第五届中国高校博物馆馆长论坛”  在传媒博物馆隆重召开
"
http://www.cuc.edu.cn/news/2019/1126/c1901a160103/page.htm,"
“首届中国高校智慧图书馆（馆长）论坛暨‘印记中国’走进高校首...
"
http://www.cuc.edu.cn/news/2019/1126/c1901a159636/page.htm,"
喜讯：我校获批建设媒体融合与传播国家重点实验室
"
http://www.cuc.edu.cn/news/2019/1126/c1901a159431/page.htm,"
我校学生作品荣获“我心中的思政课——第三届全国高校大学生微电影...
"
http://www.cuc.edu.cn/news/2019/1126/c1901a159429/page.htm,"
廖祥忠校长代表我校接受国庆七十周年联欢活动荣誉证书
"
http://www.cuc.edu.cn/news/2019/1126/c1901a159416/page.htm,"
我校与国家广播电视总局广播电视科学研究院共建超高清电视应用创...
"
http://www.cuc.edu.cn/news/2019/1126/c1901a159420/page.htm,"
我校主办第11届大广赛学科竞赛成果展示盛典
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158993/page.htm,"
2019级新生运动会成功举办
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158992/page.htm,"
段鹏副校长带队赴吉林、上海调研外事工作
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158957/page.htm,"
我校与诺丁汉特伦特大学在海南签署合作办学框架协议
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158954/page.htm,"
我校与北京文投集团签署战略合作协议
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158952/page.htm,"
“肖宗让奖助学金”捐赠活动在我校举行
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158943/page.htm,"
第21届齐越朗诵艺术节暨全国大学生朗诵大会颁奖展演圆满落幕
"
http://www.cuc.edu.cn/news/2019/1125/c1901a158936/page.htm,"
我校与华为技术有限公司签署战略合作协议
"
http://www.cuc.edu.cn/news/2019/1124/c1901a158899/page.htm,"
2019环球数字经济创新发展大会在京成功举办
"
http://www.cuc.edu.cn/news/2019/1122/c1901a158890/page.htm,"
经济与管理学院举行2019年爱国主题教育活动总结表彰大会
"
http://www.cuc.edu.cn/news/2019/1122/c1901a158872/page.htm,"
陈文申书记出席“中国治理的世界意义”国际论坛并致辞
"
http://www.cuc.edu.cn/news/2019/1121/c1901a158833/page.htm,"
我校考点2020年硕士研究生招生考试网上确认工作圆满完成
"
http://www.cuc.edu.cn/news/2019/1121/c1901a158821/page.htm,"
新入职教职工沂蒙红色主题教育培训圆满结束
"
http://www.cuc.edu.cn/news/2019/1121/c1901a158817/page.htm,"
第五届中国大学生程序设计竞赛总决赛在我校举办
"
http://www.cuc.edu.cn/news/2019/1121/c1901a158805/page.htm,"
我校学生作品在圣彼得堡国际大学生艺术节获奖
"
http://www.cuc.edu.cn/news/2019/1120/c1901a157632/page.htm,"
党委理论学习中心组集中收看《榜样4》专题节目
"
http://www.cuc.edu.cn/news/2019/1120/c1901a157251/page.htm,"
陈文申书记在成都出席系列学术活动
"
http://www.cuc.edu.cn/news/2019/1120/c1901a157248/page.htm,"
我校举办59级无线电系校友返校日活动
"
http://www.cuc.edu.cn/news/2019/1120/c1901a157244/page.htm,"
动画与数字艺术学院国庆70周年庆祝活动参训札记展开幕
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156343/page.htm,"
美国密西根州立大学与我校签署海南合作框架协议
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156342/page.htm,"
“不忘初心 牢记使命”全国自强模范宣讲活动在我校举行
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156341/page.htm,"
中国电视艺术交流协会视听艺术教育专业委员会成立
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156340/page.htm,"
李新军副校长参观指导夏季学期实践教学成果展
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156321/page.htm,"
陈文申书记会见荷兰海牙皇家音乐学院代表团
"
http://www.cuc.edu.cn/news/2019/1118/c1901a156298/page.htm,"
我校在社会主义核心价值观动画创作活动获佳绩
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153504/page.htm,"
段鹏副校长讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153503/page.htm,"
李新军副校长讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153502/page.htm,"
我校承办中国-东盟菁英奖学金项目
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153474/page.htm,"
刘守训副校长讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153471/page.htm,"
段鹏副校长会见诺维萨德大学副校长
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153378/page.htm,"
我校获第八届首都大学生记者基本功大赛特等奖
"
http://www.cuc.edu.cn/news/2019/1115/c1901a153439/page.htm,"
陈文申书记赴山东临沂看望培训中的新入职青年教师并与老师们亲切...
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153381/page.htm,"
刘延平副校长讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153380/page.htm,"
姜绪范副书记讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153379/page.htm,"
我校组织处级以上领导干部观看警示教育片《叩问初心》
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153371/page.htm,"
我校研究报告被教育部学位管理与研究教育司采用
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153362/page.htm,"
我校在2019首都大学生台球锦标赛中夺冠
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153364/page.htm,"
陈文申书记讲授“不忘初心，牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1114/c1901a153357/page.htm,"
我校党委副书记、纪委书记王达品讲专题党课
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152424/page.htm,"
2019级新生军训团结业典礼举行
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152407/page.htm,"
我校举办“白杨”嘉年华校庆活动
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152402/page.htm,"
段鹏副校长会见迪肯大学校长一行
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152401/page.htm,"
中央国家机关政府采购中心主任何长江一行来我校开展工程类定点业...
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152403/page.htm,"
“音创未来：跨界人才与产业繁荣”国际论坛召开
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152388/page.htm,"
学校领导班子召开主题教育检视问题整改专题会议
"
http://www.cuc.edu.cn/news/2019/1113/c1901a152385/page.htm,"
中国传媒大学北京学院成立仪式举行
"
http://www.cuc.edu.cn/news/2019/1112/c1901a149642/page.htm,"
我校文化产业管理学院与政法学院并院大会举行
"
http://www.cuc.edu.cn/news/2019/1112/c1901a149591/page.htm,"
我校召开新入职教职工沂蒙红色主题教育培训活动出征动员大会
"
http://www.cuc.edu.cn/news/2019/1112/c1901a149576/page.htm,"
党委统战部组织开展“知校、爱校、荣校”主题活动
"
http://www.cuc.edu.cn/news/2019/1110/c1901a149575/page.htm,"
段鹏副校长会见康普顿斯大学副校长一行
"
http://www.cuc.edu.cn/news/2019/1110/c1901a149484/page.htm,"
段鹏副校长会见康普顿斯大学副校长一行
"
http://www.cuc.edu.cn/news/2019/1112/c1901a149572/page.htm,"
文化发展研究院获授“国家文化和旅游公共服务研究基地”
"
http://www.cuc.edu.cn/news/2019/1111/c1901a149524/page.htm,"
​我校国庆活动宣讲团赴黑龙江高校开展宣讲活动
"
http://www.cuc.edu.cn/news/2019/1111/c1901a149509/page.htm,"
我校召开庆祝建校65周年校友代表座谈会
"
http://www.cuc.edu.cn/news/2019/1111/c1901a149506/page.htm,"
“年轻的白杨”庆祝建校65周年盛大歌会唱响中传
"
http://www.cuc.edu.cn/news/2019/1110/c1901a149487/page.htm,"
中国传媒大学隆重发布新版校歌MV及学校宣传片
"
http://www.cuc.edu.cn/news/2019/1110/c1901a149485/page.htm,"
我校举行消防演练活动
"
http://www.cuc.edu.cn/news/2019/1109/c1901a149481/page.htm,"
89级播音本科班入学30周年返校“回家”再相聚
"
http://www.cuc.edu.cn/news/2019/1108/c1901a149425/page.htm,"
第八届中国大学生电视节在京启动
"
http://www.cuc.edu.cn/news/2019/1108/c1901a149419/page.htm,"
北京市台办巡视员赵孝清一行来我校调研
"
http://www.cuc.edu.cn/news/2019/1108/c1901a149400/page.htm,"
我校军训团在军营开展预防艾滋病为主题的健康知识讲座
"
http://www.cuc.edu.cn/news/2019/1108/c1901a149397/page.htm,"
廖祥忠校长讲授“不忘初心、牢记使命”专题党课
"
http://www.cuc.edu.cn/news/2019/1108/c1901a149392/page.htm,"
党委理论学习中心组专题学习十九届四中全会精神
"
http://www.cuc.edu.cn/news/2019/1107/c1901a149366/page.htm,"
杨宇军院长为中传2019级军训新生作专题讲座
"
http://www.cuc.edu.cn/news/2019/1106/c1901a149338/page.htm,"
学校领导班子召开对照党章党规找差距专题会议
"
http://www.cuc.edu.cn/news/2019/1106/c1901a149319/page.htm,"
全国疾控干部健康传播能力研讨会在我校举行
"
http://www.cuc.edu.cn/news/2019/1106/c1901a149318/page.htm,"
共建中国传媒大学-翰里影视创作研究院合作会谈在我校举行
"
http://www.cuc.edu.cn/news/2019/1106/c1901a149317/page.htm,"
我校承办的中国广播电视年鉴第35届年会在昆明举行
"
http://www.cuc.edu.cn/news/2019/1105/c1901a149282/page.htm,"
2019区域品牌发展国际论坛在中国传媒大学举行
"
http://www.cuc.edu.cn/news/2019/1105/c1901a149278/page.htm,"
校领导带队落实海南陵水合作办学入驻及申报事宜
"
http://www.cuc.edu.cn/news/2019/1103/c1901a149255/page.htm,"
5G时代的数字娱乐产业与教育发展高峰论坛在我校举办
"
http://www.cuc.edu.cn/news/2019/1103/c1901a149251/page.htm,"
第八届全国新闻学与传播学博士生学术研讨会成功举办
"
http://www.cuc.edu.cn/news/2019/1103/c1901a149250/page.htm,"
李新军副校长会见巴黎第三大学副校长
"
http://www.cuc.edu.cn/news/2019/1102/c1901a149242/page.htm,"
我校举办“重温光辉历史，凝聚红色基因”主题讲座暨党支部书记专...
"
http://www.cuc.edu.cn/news/2019/1030/c1901a149211/page.htm,"
我校举办处级干部、教工党支部书记“不忘初心、牢记使命”主题教...
"
http://www.cuc.edu.cn/news/2019/1030/c1901a149210/page.htm,"
【Aniwow! 2019】第十四届中国（北京）国际大学生动画节颁奖典礼...
"
http://www.cuc.edu.cn/news/2019/1030/c1901a149202/page.htm,"
2019年TBS奖学金授予仪式暨TBS系列讲座在我校举行
"
http://www.cuc.edu.cn/news/2019/1030/c1901a149199/page.htm,"
​“智能媒体传播与未来”学术研讨会暨英文期刊GlobalMediaandChi...
"
http://www.cuc.edu.cn/news/2019/1030/c1901a149179/page.htm,"
中传文化广场揭幕仪式隆重举行
"
http://www.cuc.edu.cn/news/2019/1029/c1901a149143/page.htm,"
国有资产管理处支部赴平谷开展主题党日活动
"
http://www.cuc.edu.cn/news/2019/1029/c1901a149135/page.htm,"
阿根廷国家广播电视台摄制组来访我校
"
http://www.cuc.edu.cn/news/2019/1029/c1901a149197/page.htm,"
阿根廷国家广播电视台摄制组来访我校
"
http://www.cuc.edu.cn/news/2019/1028/c1901a149099/page.htm,"
我校承担的国家社科基金艺术学重大项目“网络文化安全研究”顺利...
"
http://www.cuc.edu.cn/news/2019/1028/c1901a149093/page.htm,"
我校师生参加2019中国国际汉字大会并在演讲大赛中夺冠
"
http://www.cuc.edu.cn/news/2019/1028/c1901a149088/page.htm,"
2019中华思想文化国际传播研讨会在我校召开
"
http://www.cuc.edu.cn/news/2019/1028/c1901a149087/page.htm,"
廖祥忠校长会见日本东京广播公司（TBS）社长一行
"
http://www.cuc.edu.cn/news/2019/1025/c1901a148988/page.htm,"
我校学生在“一带一路”大学生电影学术盛典获多个奖项
"
http://www.cuc.edu.cn/news/2019/1025/c1901a148987/page.htm,"
“广告·品牌·中国——大国品牌七十年”主题展览在我校中国广告博物...
"
http://www.cuc.edu.cn/news/2019/1025/c1901a148986/page.htm,"
2019“初心不忘 共铸华章”校级知识竞赛举办 信通学院夺冠
"
http://www.cuc.edu.cn/news/2019/1025/c1901a148700/page.htm,"
我校召开“不忘初心、牢记使命”主题教育调研成果交流会
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148652/page.htm,"
廖祥忠校长会见日本大学艺术学部代表团
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148651/page.htm,"
段鹏副校长会见南昆士兰大学校长一行
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148650/page.htm,"
我校研究生获得2019国际大学生类脑计算大赛三等奖
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148643/page.htm,"
我校学生作品荣获2019韩国富川国际动画节特别优秀奖
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148642/page.htm,"
图书馆、传媒博物馆（校史馆）举办“不忘初心、牢记使命”专题党...
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148637/page.htm,"
我校为北京市委社会工委、市民政局举办媒介素养提升培训
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148636/page.htm,"
话剧《青春榴火》在我校成功上演
"
http://www.cuc.edu.cn/news/2019/1024/c1901a148632/page.htm,"
陈文申书记深入基层开展主题教育调研
"
http://www.cuc.edu.cn/news/2019/1022/c1901a148547/page.htm,"
北京市委统战部给我校发来感谢信
"
http://www.cuc.edu.cn/news/2019/1022/c1901a148541/page.htm,"
我校2019级本专科学生军训正式开训
"
http://www.cuc.edu.cn/news/2019/1022/c1901a148537/page.htm,"
“光明影院”项目喜获全国大学生创新创业金奖
"
http://www.cuc.edu.cn/news/2019/1022/c1901a148515/page.htm,"
党委书记陈文申为2019级新生讲授大学思政第一课
"
http://www.cuc.edu.cn/news/2019/1021/c1901a148484/page.htm,"
教育部第三巡回指导组指导传播研究院教工党支部专题党课
"
http://www.cuc.edu.cn/news/2019/1021/c1901a148427/page.htm,"
中央第十一巡回督导组到我校调研指导“不忘初心、牢记使命”主题...
"
http://www.cuc.edu.cn/news/2019/1018/c1901a145641/page.htm,"
85级无线系校友返校参观交流
"
http://www.cuc.edu.cn/news/2019/1018/c1901a145628/page.htm,"
百度高级副总裁来校讲座 廖祥忠校长会见
"
http://www.cuc.edu.cn/news/2019/1017/c1901a145295/page.htm,"
教育部高教司二级巡视员武世兴来我校讲座
"
http://www.cuc.edu.cn/news/2019/1016/c1901a145240/page.htm,"
教育部艺术学理论类本科教指委工作会议在我校召开
"
http://www.cuc.edu.cn/news/2019/1016/c1901a145236/page.htm,"
电视学院党委开展“不忘初心、牢记使命”主题教育学习系列活动
"
http://www.cuc.edu.cn/news/2019/1014/c1901a142082/page.htm,"
新中国成立七十周年庆祝大会音响保障指挥部向我校发来感谢信
"
http://www.cuc.edu.cn/news/2019/1014/c1901a142064/page.htm,"
​外交部2020年考录工作宣讲会在我校举办
"
http://www.cuc.edu.cn/news/2019/1013/c1901a142036/page.htm,"
陈文申书记与参加国庆70周年阅兵方阵同学交流座谈
"
http://www.cuc.edu.cn/news/2019/1011/c1901a140730/page.htm,"
李新军副校长会见加拿大多伦多大学士嘉堡校区副校长威廉·高夫
"
http://www.cuc.edu.cn/news/2019/1011/c1901a140728/page.htm,"
马克思主义学院教工第二党支部开展“不忘初心、牢记使命”主题教...
"
http://www.cuc.edu.cn/news/2019/1011/c1901a140579/page.htm,"
中国传媒大学第三十八次学生代表大会顺利召开
"
http://www.cuc.edu.cn/news/2019/1010/c1901a140521/page.htm,"
播音主持艺术学院举行主题党日活动，把“最美的声音献给祖国”
"
http://www.cuc.edu.cn/news/2019/1009/c1901a140509/page.htm,"
我校两部作品在2019教育部关工委“读懂中国”活动中获奖
"
http://www.cuc.edu.cn/news/2019/1008/c1901a140383/page.htm,"
第六届亚洲大学生电影展在韩国成功举办，我校学生作品获奖
"
http://www.cuc.edu.cn/news/2019/1003/c1901a140342/page.htm,"
我校隆重举行2019年重阳节庆祝大会
"
http://www.cuc.edu.cn/news/2019/0930/c1901a140331/page.htm,"
第二十届两岸文化创意产业高校研究联盟白马湖论坛隆重开幕
"
http://www.cuc.edu.cn/news/2019/0930/c1901a140333/page.htm,"
教育部高等教育司司长吴岩来我校调研
"
http://www.cuc.edu.cn/news/2019/0930/c1901a140310/page.htm,"
校级领导班子召开第五次“不忘初心、牢记使命”主题学习会
"
http://www.cuc.edu.cn/news/2019/0930/c1901a140278/page.htm,"
我校召开北京“高精尖”学科建设项目启动会
"
http://www.cuc.edu.cn/news/2019/0930/c1901a140275/page.htm,"
我校举行高层次人才续聘座谈会
"
http://www.cuc.edu.cn/news/2019/0929/c1901a139613/page.htm,"
校级领导班子召开第四次“不忘初心、牢记使命”主题集中学习会
"
http://www.cuc.edu.cn/news/2019/0929/c1901a139608/page.htm,"
我校开展“国庆”假期前实验室安全检查工作
"
http://www.cuc.edu.cn/news/2019/0929/c1901a139602/page.htm,"
我校多项作品在“挑战杯”大学生课外学术科技作品竞赛中获奖
"
http://www.cuc.edu.cn/news/2019/0927/c1901a139567/page.htm,"
迎国庆，我校举行 “奋进中传”  书画摄影展
"
http://www.cuc.edu.cn/news/2019/0927/c1901a139565/page.htm,"
我校与高井村共建“美丽乡村研究所”揭牌仪式举行
"
http://www.cuc.edu.cn/news/2019/0927/c1901a139560/page.htm,"
喜讯：宫承波教授获聘中央文史研究馆特约研究员
"
http://www.cuc.edu.cn/news/2019/0927/c1901a139541/page.htm,"
学校领导班子集中学习陈宝生部长讲话精神
"
http://www.cuc.edu.cn/news/2019/0927/c1901a139534/page.htm,"
教育部巡回指导组指导我校“不忘初心、牢记使命”主题教育活动
"
http://www.cuc.edu.cn/news/2019/0926/c1901a139513/page.htm,"
北京经济技术开发区工委书记王少峰来我校调研
"
http://www.cuc.edu.cn/news/2019/0926/c1901a139514/page.htm,"
中国传媒大学成功举行CCF-CV走进高校学术报告会
"
http://www.cuc.edu.cn/news/2019/0925/c1901a139471/page.htm,"
我校在教育部人文社会科学重点研究基地管理会议上作交流发言
"
http://www.cuc.edu.cn/news/2019/0925/c1901a139118/page.htm,"
59级新闻系校友阔别60载重返母校
"
http://www.cuc.edu.cn/news/2019/0925/c1901a139028/page.htm,"
校级领导班子召开首场“不忘初心、牢记使命”主题集中学习会
"
http://www.cuc.edu.cn/news/2019/0925/c1901a138992/page.htm,"
我校一项成果荣获北京高校党建思政工作优秀成果奖
"
http://www.cuc.edu.cn/news/2019/0925/c1901a138979/page.htm,"
我校举办首场“青春告白祖国，不负时代担当”宣讲会
"
http://www.cuc.edu.cn/news/2019/0924/c1901a136591/page.htm,"
打造“知”的空间，铺就“行”的路径
"
http://www.cuc.edu.cn/news/2019/0923/c1901a136413/page.htm,"
我校学生作品入围2019葡萄牙埃斯平霍国际动画电影节
"
http://www.cuc.edu.cn/news/2019/0923/c1901a136410/page.htm,"
首批九名中传学子应征入伍
"
http://www.cuc.edu.cn/news/2019/0922/c1901a136322/page.htm,"
我校与广西壮族自治区广播电视局签署合作协议
"
http://www.cuc.edu.cn/news/2019/0920/c1901a135808/page.htm,"
学校召开2019年秋季工作会议
"
http://www.cuc.edu.cn/news/2019/0920/c1901a135796/page.htm,"
中国传媒大学召开“不忘初心、牢记使命”主题教育动员部署会
"
http://www.cuc.edu.cn/news/2019/0920/c1901a135795/page.htm,"
《现代传播—中国传媒大学学报》创刊40年座谈会召开
"
http://www.cuc.edu.cn/news/2019/0919/c1901a135746/page.htm,"
党委理论学习中心组召开专题集体学习会
"
http://www.cuc.edu.cn/news/2019/0918/c1901a161379/page.htm,"
刘延平副校长率团参加国家留学基金委东北非高等教育展团
"
http://www.cuc.edu.cn/news/2019/0913/c1901a161378/page.htm,"
中国传媒大学2019级新生开学典礼隆重举行
"
http://www.cuc.edu.cn/news/2019/0912/c1901a161377/page.htm,"
我校与人民网签署战略合作协议
"
http://www.cuc.edu.cn/news/2019/0912/c1901a161376/page.htm,"
陈文申书记会见科大讯飞高级副总裁杜兰一行
"
http://www.cuc.edu.cn/news/2019/0912/c1901a161375/page.htm,"
我校召开庆祝第35个教师节暨优秀教师表彰大会
"
http://www.cuc.edu.cn/news/2019/0910/c1901a161374/page.htm,"
我校喜迎2019级研究生新生
"
http://www.cuc.edu.cn/news/2019/0909/c1901a161373/page.htm,"
我校隆重举行2019—2020学年第一学期开学升旗仪式
"
http://www.cuc.edu.cn/news/2019/0909/c1901a161372/page.htm,"
2019年朝阳区新闻发言人与网络发言人培训班在我校成功举办
"
http://www.cuc.edu.cn/news/2019/0909/c1901a161371/page.htm,"
我校喜迎2019级本科生 数字迎新有序高效
"
http://www.cuc.edu.cn/news/2019/0909/c1901a161370/page.htm,"
我校喜迎2019级本科生 数字迎新有序高效
"
http://www.cuc.edu.cn/news/2019/0909/c1901a161369/page.htm,"
爱心开启绿色通道，助力新生顺利入学
"
http://www.cuc.edu.cn/news/2019/0904/c1901a161368/page.htm,"
我校开展领导干部、骨干教师“不忘初心 牢记使命”主题教育培训...
"
http://www.cuc.edu.cn/news/2019/0904/c1901a161367/page.htm,"
首届全国高校混合式教学设计创新大赛我校两名教师获奖
"
http://www.cuc.edu.cn/news/2019/0828/c1901a161366/page.htm,"
段鹏副校长会见荷兰Dasym传媒有限责任公司董事总经理一行
"
http://www.cuc.edu.cn/news/2019/0827/c1901a161364/page.htm,"
校党委理论中心组“不忘初心 牢记使命”专题集体学习会在井冈山...
"
http://www.cuc.edu.cn/news/2019/0822/c1901a161363/page.htm,"
我校学生在2019中国高校计算机大赛中荣获多项大奖
"
http://www.cuc.edu.cn/news/2019/0820/c1901a161362/page.htm,"
我校参加海南省教育厅陵水入驻高校需求对接会进一步洽商海南国际...
"
http://www.cuc.edu.cn/news/2019/0811/c1901a161361/page.htm,"
我校与颐和园签署战略合作框架协议
"
http://www.cuc.edu.cn/news/2019/0802/c1901a161360/page.htm,"
我校学生作品入围2019台中国际动画影展
"
http://www.cuc.edu.cn/news/2019/0801/c1901a161359/page.htm,"
校领导率团赴海南洽商我校海南国际合作办学建设要求
"
http://www.cuc.edu.cn/news/2019/0731/c1901a161358/page.htm,"
我校参与承办2019中国网络媒体论坛内容分论坛
"
http://www.cuc.edu.cn/news/2019/0731/c1901a161357/page.htm,"
我校开展暑假前安全大检查
"
http://www.cuc.edu.cn/news/2019/0727/c1901a161356/page.htm,"
马克思主义学院召开“一人一策”师资提升创优工程推进会
"
http://www.cuc.edu.cn/news/2019/0727/c1901a161354/page.htm,"
我校召开2019年科研项目申报工作总结及动员大会
"
http://www.cuc.edu.cn/news/2019/0725/c1901a161353/page.htm,"
我校启动“不忘初心、牢记使命”领导干部暑期专题读书班
"
http://www.cuc.edu.cn/news/2019/0725/c1901a161352/page.htm,"
我校开展暑假前实验室安全检查工作
"
http://www.cuc.edu.cn/news/2019/0725/c1901a161351/page.htm,"
我校成功举办第三届全国优秀大学生夏令营
"
http://www.cuc.edu.cn/news/2019/0724/c1901a161350/page.htm,"
2019“文化中国•水立方杯”音乐夏令营暨海外华人中文歌曲大赛在...
"
http://www.cuc.edu.cn/news/2019/0722/c1901a161349/page.htm,"
中国传媒大学第二届教代会2019年专题会议召开
"
http://www.cuc.edu.cn/news/2019/0722/c1901a161348/page.htm,"
我校组织开展2019年“共产党员献爱心”捐献活动
"
http://www.cuc.edu.cn/news/2019/0722/c1901a161347/page.htm,"
党委理论学习中心（扩大）组召开专题集体学习会
"
http://www.cuc.edu.cn/news/2019/0718/c1901a161346/page.htm,"
廖祥忠校长率团出访英国爱尔兰高校
"
http://www.cuc.edu.cn/news/2019/0716/c1901a161345/page.htm,"
首届“中国高校动画与未来影像年度峰会”在青岛成功举办
"
http://www.cuc.edu.cn/news/2019/0715/c1901a161344/page.htm,"
陈文申书记会见香港“就是敢言”北京访问团
"
http://www.cuc.edu.cn/news/2019/0715/c1901a161343/page.htm,"
我校师生作品《非遗与传承》在世界新闻教育大会获奖
"
http://www.cuc.edu.cn/news/2019/0715/c1901a161342/page.htm,"
我校首届“音乐与声音学术周”隆重开幕
"
http://www.cuc.edu.cn/news/2019/0712/c1901a161341/page.htm,"
我校与广西壮族自治区签署战略合作协议
"
http://www.cuc.edu.cn/news/2019/0712/c1901a161340/page.htm,"
北京网络视听节目创新与人物推优启动仪式在我校举行
"
http://www.cuc.edu.cn/news/2019/0711/c1901a161339/page.htm,"
刘延平副校长参加经济与管理学院2017级信管班级座谈会
"
http://www.cuc.edu.cn/news/2019/0711/c1901a161338/page.htm,"
我校2018级少数民族预科班本科专业选择会圆满举办
"
http://www.cuc.edu.cn/news/2019/0711/c1901a161337/page.htm,"
中国传媒大学党委启动重点领域和部门专项巡察工作
"
http://www.cuc.edu.cn/news/2019/0711/c1901a161336/page.htm,"
陈文申书记会见匈牙利罗兰大学副校长一行
"
http://www.cuc.edu.cn/news/2019/0711/c1901a161335/page.htm,"
陈文申书记与外国语言文化学院非通用语教师座谈
"
http://www.cuc.edu.cn/news/2019/0710/c1901a161334/page.htm,"
首届“新时代、新思维、新视野”民盟主题论坛圆满落幕
"
http://www.cuc.edu.cn/news/2019/0710/c1901a161333/page.htm,"
我校举行2019年暑期社会实践出征仪式
"
http://www.cuc.edu.cn/news/2019/0709/c1901a161332/page.htm,"
中国传媒大学2019年首届中外合作办学教学研讨会召开
"
http://www.cuc.edu.cn/news/2019/0708/c1901a161331/page.htm,"
刘守训副校长参加政法学院2017级社会学班级座谈会
"
http://www.cuc.edu.cn/news/2019/0708/c1901a161330/page.htm,"
我校两部学生作品入围2019韩国独立动画电影节
"
http://www.cuc.edu.cn/news/2019/0708/c1901a161329/page.htm,"
我校戏剧影视学院启动“中小学影视教育实训教程”项目
"
http://www.cuc.edu.cn/news/2019/0708/c1901a161328/page.htm,"
第四届新闻播音主持基本功大赛圆满落幕
"
http://www.cuc.edu.cn/news/2019/0705/c1901a161327/page.htm,"
互联网新闻信息服务从业人员培训班在我校举办
"
