,name,fullname,isalive,group,centrality,hits,pagerank
141,anciento,Ancient One,deceased,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655
142,kaecilius,Kaecilius,unknown,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231
143,christinep,Christine Palmer,alive,human,0.0055248618784530384,0.00017092541347368045,0.0015281283344103127
144,wong,Wong,alive,human,0.03314917127071823,0.00023585316024019506,0.005338633991113422
145,jonathanp,Jonathan Pangborn,unknown,human,0.016574585635359115,0.00019810010237865725,0.0030349780017062014
146,hamir,Hamir,alive,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231
147,dormammu,Dormammu,alive,faltine,0.03314917127071823,0.00023585316024019506,0.005338633991113422
148,peterp,Peter Parker,alive,human,0.13812154696132595,0.015920541217834577,0.013817947601598034
149,mayp,May Parker,alive,human,0.016574585635359115,0.0026517320512524246,0.0023389595249011783
150,nedl,Ned Leeds,alive,human,0.055248618784530384,0.002037316969700741,0.006625219302602596
151,michellej,Michelle Jones,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691
152,lizt,Liz Toomes,alive,human,0.03867403314917127,0.00146896277931255,0.0048270934275142195
153,adriant,Adrian Toomes,alive,human,0.055248618784530384,0.0035218314404610197,0.006588743219274662
154,eugenet,Flash Thompson,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691
155,aarond,Aaron Davis,alive,human,0.022099447513812154,0.001111228375656058,0.003182060983083369
156,jacksonb,Jackson Brice,deceased,human,0.03314917127071823,0.0014118988677413531,0.004393739561519931
157,hermans,Herman Schultz,alive,human,0.04419889502762431,0.0015823358844281174,0.005645104777299492
158,phineasm,Phineas Mason,alive,human,0.027624309392265192,0.001353782673280419,0.003709264803308558
159,macg,Macdonald 'Mac' Gargan,alive,human,0.022099447513812154,0.0012215758563228604,0.0031305867664519096
160,annem,Anne Marie Hoag,alive,human,0.027624309392265192,0.002095023353029132,0.0037192335395015135
161,principalm,Principal Morita,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915
162,erikk,Erik 'Killmonger' Stevens,deceased,human,0.06629834254143646,0.003564368461876846,0.005582562019624525
163,nakia,Nakia,alive,human,0.06629834254143646,0.0036197273715110477,0.00551645462826451
164,okoye,Okoye,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447857
165,shuri,Shuri,alive,human,0.08839779005524862,0.005222956650353075,0.007143204903456382
166,ramonda,Ramonda,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447856
167,wkabi,W'Kabi,alive,human,0.06077348066298342,0.003158628771036599,0.005125477490354742
