,name,fullname,isalive,group,centrality,hits,pagerank,auth,hub
111,carina,Carina,deceased,krylorian,0.0055248618784530384,8.936976686261871e-05,0.001327741602859839,1.8464533321101682e-06,0.0
112,rhomannd,Rhomann Dey,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201034,0.0015481212397140541,0.0005178330488180718
113,garthans,Garthan Saal,deceased,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035,0.0015884522660444735,0.00039416127061932374
114,iranir,Irani Rael,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035,0.0016191512441212207,0.0002680993688463308
115,novac,Nova Corp Soldier,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201036,0.0016400319716566737,0.00014041176086888033
116,howardd,Howard The Duck,alive,duckworldian,0.022099447513812154,0.00010443705696178332,0.002950098812521239,0.00010296868271434057,1.6199234400375085e-05
117,meredithq,Meredith Quill,deceased,human,0.011049723756906077,2.4818831470505696e-05,0.0016839068501326687,0.00020286705580102458,0.00011686752417289447
118,kraglino,Kraglin Obfonteri,alive,xanderian,0.08839779005524862,0.0002142947969645597,0.00755905153229339,0.0018034622205644454,0.00038862593949084767
119,cosmo,Cosmo The Spacedog,alive,dog,0.011049723756906077,0.00010656803277335684,0.00174105470947134,0.00019964119526699457,0.0
120,mantis,Mantis,alive,unknown,0.055248618784530384,0.00015234161653704926,0.004997541088278081,0.0014747305761903062,0.00022115364530809846
121,ego,Ego,deceased,celestial,0.055248618784530384,0.00014664483743800477,0.005257319605255651,0.0015010577700363395,0.0
122,ayesha,Ayesha,alive,sovereign,0.049723756906077346,0.0001337458289936521,0.004593123158917843,0.0013394610140398243,5.265452054219521e-05
123,taserf,Taserface,deceased,stark,0.03314917127071823,8.181132996407893e-05,0.003329235606827302,0.0006762997483413073,0.0
124,stakaro,Stakar Ogord,alive,unknown,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513,0.00010238430393998362,4.2303475078853906e-05
125,martinex,Martinex,alive,pluvian,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513,0.00010568022756621803,3.407555287876898e-05
126,krugarr,Krugarr,alive,lem,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.0001070730376587135,2.5739190970098403e-05
127,charlie,Charlie-27,alive,jovian,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.00010907842974924054,1.7246695691151124e-05
128,aletao,Aleta Ogord,alive,arcturan,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.0001104221581282481,8.6495820477743e-06
129,mainf,Mainframe,alive,machine,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.00011109606738284752,0.0
130,scottl,Scott Lang,alive,human,0.10497237569060773,0.014941044694808798,0.01070223533532958,0.17782332844414372,0.03258519018451242
131,hankp,Hank Pym,alive,human,0.04419889502762431,0.0016470240999483762,0.005485947251920635,0.0025369718175180978,0.007906198953090166
132,hopev,Hope Van Dyne,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936,0.003152520702298948,0.0010326794138246986
133,darrenc,Darren Cross,deceased,human,0.03867403314917127,0.0012274030791589628,0.00516446696768985,0.0032329214335186846,0.000985711096745258
134,maggiel,Maggie Lang,alive,human,0.011049723756906077,0.0008764329370148453,0.002103420628817808,0.0025369718175180978,0.0002047365348741698
135,cassiel,Cassie Lang,alive,human,0.016574585635359115,0.000940624958738596,0.0028243904542156716,0.0026296558317478826,0.0
136,luis,Luis,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793,0.003309665385113383,0.0005232946729820906
137,kurt,Kurt,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793,0.0033504072380280405,0.0002624427546246756
138,dave,Dave,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936,0.003370840092721655,0.0
139,stephens,Stephen Strange,alive,human,0.055248618784530384,0.003097305951300363,0.008278933910134081,0.04351992287881143,0.011296946000545488
140,karlm,Karl Mordo,alive,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655,0.0009139779902138525,0.00037114147217839953
141,anciento,Ancient One,deceased,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655,0.0008795419933250323,0.0004423008552461311
142,kaecilius,Kaecilius,unknown,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231,0.0009428737660838548,0.0001500048489815426
143,christinep,Christine Palmer,alive,human,0.0055248618784530384,0.00017092541347368045,0.0015281283344103127,0.0008795419933250323,0.0
144,wong,Wong,alive,human,0.03314917127071823,0.00023585316024019506,0.005338633991113422,0.0009545526182673086,0.0001500048489815426
145,jonathanp,Jonathan Pangborn,unknown,human,0.016574585635359115,0.00019810010237865725,0.0030349780017062014,0.0009428737660838548,0.0
146,hamir,Hamir,alive,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231,0.0009545526182673086,7.568645603457847e-05
147,dormammu,Dormammu,alive,faltine,0.03314917127071823,0.00023585316024019506,0.005338633991113422,0.0009721241527213577,0.0
148,peterp,Peter Parker,alive,human,0.13812154696132595,0.015920541217834577,0.013817947601598034,0.1803603002616618,0.0241758206844804
149,mayp,May Parker,alive,human,0.016574585635359115,0.0026517320512524246,0.0023389595249011783,0.03198748667795627,0.002081797062229511
150,nedl,Ned Leeds,alive,human,0.055248618784530384,0.002037316969700741,0.006625219302602596,0.0020443269839489856,0.0066772032870144075
151,michellej,Michelle Jones,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691,0.002402109197730249,0.0008328132728824038
152,lizt,Liz Toomes,alive,human,0.03867403314917127,0.00146896277931255,0.0048270934275142195,0.0024669490022683938,0.0031910049702917444
153,adriant,Adrian Toomes,alive,human,0.055248618784530384,0.0035218314404610197,0.006588743219274662,0.03275579096827686,0.006149221127031669
154,eugenet,Flash Thompson,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691,0.002715389516212414,0.0004293330843310895
155,aarond,Aaron Davis,alive,human,0.022099447513812154,0.001111228375656058,0.003182060983083369,0.0018822454213536757,0.0006383961626143124
156,jacksonb,Jackson Brice,deceased,human,0.03314917127071823,0.0014118988677413531,0.004393739561519931,0.0024107056422334487,0.0028951439842767996
157,hermans,Herman Schultz,alive,human,0.04419889502762431,0.0015823358844281174,0.005645104777299492,0.003155975282102484,0.0028544222239126303
158,phineasm,Phineas Mason,alive,human,0.027624309392265192,0.001353782673280419,0.003709264803308558,0.0028086437181882415,0.0024307579565613527
159,macg,Macdonald 'Mac' Gargan,alive,human,0.022099447513812154,0.0012215758563228604,0.0031305867664519096,0.0026329410582083953,0.0
160,annem,Anne Marie Hoag,alive,human,0.027624309392265192,0.002095023353029132,0.0037192335395015135,0.03122089000855494,0.0
161,principalm,Principal Morita,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915,0.0027655797857043547,0.0
162,erikk,Erik 'Killmonger' Stevens,deceased,human,0.06629834254143646,0.003564368461876846,0.005582562019624525,0.009272333604750244,0.02260797192122834
163,nakia,Nakia,alive,human,0.06629834254143646,0.0036197273715110477,0.00551645462826451,0.013986851482827559,0.021163476621347394
164,okoye,Okoye,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447857,0.015634560788307564,0.024141667042695124
165,shuri,Shuri,alive,human,0.08839779005524862,0.005222956650353075,0.007143204903456382,0.011032505999751615,0.03794611898991862
166,ramonda,Ramonda,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447856,0.017514140404127132,0.02277807247098371
167,wkabi,W'Kabi,alive,human,0.06077348066298342,0.003158628771036599,0.005125477490354742,0.020221330153177175,0.008370536005642573
168,mbaku,M'Baku,alive,human,0.04419889502762431,0.002809486798854745,0.003906807088541211,0.021263974066901902,0.0
169,zuri,Zuri,deceased,human,0.049723756906077346,0.002712018460613624,0.00437815380052346,0.019939254197469895,0.004719450121914777
170,njobu,N'Jobu,deceased,human,0.027624309392265192,0.0019048938700491707,0.0027751307094994087,0.01285540531193913,0.0
171,miningt,Mining Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.004319841736099068,0.017335134329043673,0.004350101006330834
172,bordert,Border Tribe Elder,alive,human,0.055248618784530384,0.002939285721211042,0.004722396021247323,0.018547076837963625,0.0014017735656395585
173,rivert,River Tribe Elder,alive,human,0.055248618784530384,0.0029634007424948015,0.004717503505769923,0.019321525622662827,0.0028457892417615843
174,merchantt,Merchant Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.0043198417360990685,0.01800451509028225,0.0
175,midnightp,Proxima Midnight,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,4.173356174325833e-26,3.685788406597183e-26
176,corviusg,Corvius Glaive,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,8.008611851312632e-26,3.062263677697542e-26
177,ebonym,The Ebony Maw,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,1.1195057425154692e-25,2.1906525576141802e-26
178,obsidianc,Obsidian Cull,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,1.3474546025980837e-25,1.1415677956253251e-26
179,outrider,Outriders,alive,unknown,0.027624309392265192,0.00015215856313355785,0.0042187726478058,1.466240704399283e-25,0.0
180,bettyb,Betty Brant,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915,0.002748815823596312,0.0002153191362182199
181,stanlee,Stan Lee,,human,0.027624309392265192,0.006881699022599659,0.0028685058281953885,0.0,0.04295703581156652
